name,x,y,width,height
standleft1,15,36,14,16
standright1,51,36,14,16
MiniKnight_2,180,36,15,16
MiniKnight_3,216,36,15,16
MiniKnight_4,251,36,15,16
MiniKnight_5,287,36,15,16
MiniKnight_6,15,98,14,16
MiniKnight_7,51,97,13,17
MiniKnight_8,87,98,12,16
MiniKnight_9,123,97,13,17
MiniKnight_10,180,98,15,16
MiniKnight_11,216,98,15,16
MiniKnight_12,253,98,15,16
MiniKnight_13,287,98,19,16
MiniKnight_14,323,98,17,16
MiniKnight_15,15,134,14,16
MiniKnight_16,52,133,13,17
MiniKnight_17,89,134,12,16
MiniKnight_18,124,133,13,17
MiniKnight_19,179,134,15,16
MiniKnight_20,215,134,15,16
MiniKnight_21,250,134,15,16
MiniKnight_22,284,134,19,16
MiniKnight_23,322,134,17,16
MiniKnight_24,15,194,14,16
MiniKnight_25,44,194,21,16
MiniKnight_26,87,194,14,16
MiniKnight_27,123,194,21,16
guardleft1,181,193,10,17
guardright1,219,193,10,17
standleft2,15,36,14,16
standright2,51,36,14,16
guardleft2,181,193,10,17
guardright2,219,193,10,17
deadLeft1,323,98,17,16
deadLeft2,323,98,17,16
deadRight1,322,134,17,16
deadRight2,322,134,17,16
